timestamp,station_id,lat,lon,alt_m,T,P,RH,T_true,P_true,RH_true,is_fault,fault_class,fault_channel,event,lst,doy,expected_reason
2025-03-01 00:00:00,AWS_MUM,19.08,72.88,11,32.23,1008.5,58.6,32.23,1008.5,58.6,0,none,none,,4.858667,60.0,ok
2025-03-01 01:00:00,AWS_MUM,19.08,72.88,11,32.08,1009.69,58.4,32.08,1009.69,58.4,0,none,none,,5.858667,60.0,ok
2025-03-01 02:00:00,AWS_MUM,19.08,72.88,11,30.72,1010.09,62.5,30.72,1010.09,62.5,0,none,none,,6.858667,60.0,ok
2025-03-01 03:00:00,AWS_MUM,19.08,72.88,11,30.6,1010.66,64.4,30.6,1010.66,64.4,0,none,none,,7.858667,60.0,ok
2025-03-01 04:00:00,AWS_MUM,19.08,72.88,11,30.35,1010.26,64.7,30.35,1010.26,64.7,0,none,none,,8.858666,60.0,ok
2025-03-01 05:00:00,AWS_MUM,19.08,72.88,11,27.76,1010.43,74.6,27.76,1010.43,74.6,0,none,none,,9.858666,60.0,ok
2025-03-01 06:00:00,AWS_MUM,19.08,72.88,11,26.15,1009.71,81.3,26.15,1009.71,81.3,0,none,none,,10.858666,60.0,ok
2025-03-01 07:00:00,AWS_MUM,19.08,72.88,11,25.2,1009.25,85.5,25.2,1009.25,85.5,0,none,none,,11.858666,60.0,ok
2025-03-01 08:00:00,AWS_MUM,19.08,72.88,11,24.12,1008.93,92.5,24.12,1008.93,92.5,0,none,none,,12.858666,60.0,anomaly
2025-03-01 09:00:00,AWS_MUM,19.08,72.88,11,23.53,1008.37,95.9,23.53,1008.37,95.9,0,none,none,,13.858666,60.0,anomaly
2025-03-01 10:00:00,AWS_MUM,19.08,72.88,11,23.06,1008.05,98.2,23.06,1008.05,98.2,0,none,none,,14.858666,60.0,ok
2025-03-01 11:00:00,AWS_MUM,19.08,72.88,11,22.95,1006.88,98.2,22.95,1006.88,98.2,0,none,none,,15.858666,60.0,ok
2025-03-01 12:00:00,AWS_MUM,19.08,72.88,11,23.88,1007.63,93.5,23.88,1007.63,93.5,0,none,none,,16.858667,60.0,ok
2025-03-01 13:00:00,AWS_MUM,19.08,72.88,11,24.93,1007.8,85.9,24.93,1007.8,85.9,0,none,none,,17.858667,60.0,ok
2025-03-01 14:00:00,AWS_MUM,19.08,72.88,11,26.31,1009.17,81.3,26.31,1009.17,81.3,0,none,none,,18.858667,60.0,ok
2025-03-01 15:00:00,AWS_MUM,19.08,72.88,11,27.24,1010.04,75.5,27.24,1010.04,75.5,0,none,none,,19.858667,60.0,ok
2025-03-01 16:00:00,AWS_MUM,19.08,72.88,11,27.4,1010.59,72.4,27.4,1010.59,72.4,0,none,none,,20.858667,60.0,ok
2025-03-01 17:00:00,AWS_MUM,19.08,72.88,11,28.61,1010.91,68.6,28.61,1010.91,68.6,0,none,none,,21.858667,60.0,ok
2025-03-01 18:00:00,AWS_MUM,19.08,72.88,11,29.24,1011.03,65.2,29.24,1011.03,65.2,0,none,none,,22.858667,60.0,ok
2025-03-01 19:00:00,AWS_MUM,19.08,72.88,11,30.83,1010.4,60.3,30.83,1010.4,60.3,0,none,none,,23.858667,60.0,ok
2025-03-01 20:00:00,AWS_MUM,19.08,72.88,11,31.69,1010.01,56.6,31.69,1010.01,56.6,0,none,none,,0.85866666,60.0,ok
2025-03-01 21:00:00,AWS_MUM,19.08,72.88,11,32.6,1009.39,52.8,32.6,1009.39,52.8,0,none,none,,1.8586667,60.0,ok
2025-03-01 22:00:00,AWS_MUM,19.08,72.88,11,32.24,1008.33,53.3,32.24,1008.33,53.3,0,none,none,,2.8586667,60.0,ok
2025-03-01 23:00:00,AWS_MUM,19.08,72.88,11,33.05,1008.24,52.0,33.05,1008.24,52.0,0,none,none,,3.8586667,60.0,ok
2025-03-02 00:00:00,AWS_MUM,19.08,72.88,11,32.97,1008.47,52.6,32.97,1008.47,52.6,0,none,none,,4.858667,61.0,ok
2025-03-02 01:00:00,AWS_MUM,19.08,72.88,11,31.57,1008.26,57.6,31.57,1008.26,57.6,0,none,none,,5.858667,61.0,ok
2025-03-02 02:00:00,AWS_MUM,19.08,72.88,11,30.86,1008.54,60.0,30.86,1008.54,60.0,0,none,none,,6.858667,61.0,ok
2025-03-02 03:00:00,AWS_MUM,19.08,72.88,11,30.62,1009.07,61.3,30.62,1009.07,61.3,0,none,none,,7.858667,61.0,ok
2025-03-02 04:00:00,AWS_MUM,19.08,72.88,11,29.41,1009.11,65.1,29.41,1009.11,65.1,0,none,none,,8.858666,61.0,ok
2025-03-02 05:00:00,AWS_MUM,19.08,72.88,11,28.51,1008.54,68.4,28.51,1008.54,68.4,0,none,none,,9.858666,61.0,ok
2025-03-02 06:00:00,AWS_MUM,19.08,72.88,11,27.23,1008.41,74.2,27.23,1008.41,74.2,0,none,none,,10.858666,61.0,ok
2025-03-02 07:00:00,AWS_MUM,19.08,72.88,11,27.0,1008.14,73.3,27.0,1008.14,73.3,0,none,none,,11.858666,61.0,ok
2025-03-02 08:00:00,AWS_MUM,19.08,72.88,11,26.09,1007.46,76.8,26.09,1007.46,76.8,0,none,none,,12.858666,61.0,ok
2025-03-02 09:00:00,AWS_MUM,19.08,72.88,11,25.9,1006.54,77.9,25.9,1006.54,77.9,0,none,none,,13.858666,61.0,ok
2025-03-02 10:00:00,AWS_MUM,19.08,72.88,11,25.1,1006.17,77.6,25.1,1006.17,77.6,0,none,none,,14.858666,61.0,ok
2025-03-02 11:00:00,AWS_MUM,19.08,72.88,11,25.61,1005.55,76.4,25.61,1005.55,76.4,0,none,none,,15.858666,61.0,ok
2025-03-02 12:00:00,AWS_MUM,19.08,72.88,11,26.64,1005.73,70.8,26.64,1005.73,70.8,0,none,none,,16.858667,61.0,ok
2025-03-02 13:00:00,AWS_MUM,19.08,72.88,11,27.51,1006.04,69.6,27.51,1006.04,69.6,0,none,none,,17.858667,61.0,ok
